National ID,Mode,Joined Date,First Name,Last Name,Block No,Street,City,District,SMS No,WhatsApp No,Territory Code,Area Code,Bank Code,Branch Code,Language,Category,Account Number,Electrician Grade
796479006V,physical,23/05/2025,C S,Wijesinghe,No 467/A,Station Road,Mathurata,Nuwara Eliya,728893383,749772336,TR029,AR04,7010,BOC-515,ENGLISH,LL,53727201057,D
937476882V,physical,23/05/2025,J M,Rajapaksa,C/112/C,Samagimawatha,Ruvaneliya,Nuwara Eliya,728893383,723318817,TR029,AR04,7010,BOC-515,ENGLISH,LL,97364933246,D
452114081V,physical,23/05/2025,S T,Prasanna,B/424/B,Garden Lane,Mathurata,Nuwara Eliya,728893383,793823432,TR029,AR04,7010,BOC-515,ENGLISH,LL,41586707878204,D
727492031918,physical,23/05/2025,S,Rajapaksa,L457/C,Madakadura,Hatton,Nuwara Eliya,728893383,728254329,TR029,AR04,7010,BOC-515,ENGLISH,LL,712959138338,D
246983278V,physical,23/05/2025,P L,Fernando,B/148/B,Park Road,Hatton,Nuwara Eliya,728893383,763920998,TR029,AR04,7010,BOC-515,ENGLISH,LL,8304484727,D
560345895V,physical,23/05/2025,L M,Hemantha,C/46/B,Kandy Road,Mathurata,Nuwara Eliya,728893383,799791634,TR029,AR04,7010,BOC-515,ENGLISH,LL,4587261035928,D
895148386V,physical,23/05/2025,L M,Mendis,D 429/B,School Lane,Hatton,Nuwara Eliya,728893383,720409816,TR029,AR04,7010,BOC-515,ENGLISH,LL,030483175,D
490147663V,physical,23/05/2025,L M,Karunaratne,B/78,Mahawawa,Gampola,Nuwara Eliya,728893383,718098863,TR029,AR04,7010,BOC-515,ENGLISH,LL,8793718629114,D
232046309V,physical,23/05/2025,S,Silva,B/68/C,Mahawawa,Ruvaneliya,Nuwara Eliya,728893383,775749169,TR029,AR04,7010,BOC-515,ENGLISH,LL,3211677,D
943278445V,physical,23/05/2025,W M,Silva,A/138/A,Madakadura,Nuwara Eliya,Nuwara Eliya,728893383,737141911,TR029,AR04,7010,BOC-515,ENGLISH,LL,7883319715,D
146849545753,physical,23/05/2025,W M,Prasanna,C/368/C,Central Road,Nuwara Eliya,Nuwara Eliya,728893383,732040365,TR029,AR04,7010,BOC-515,ENGLISH,LL,50291467556,D
812505600V,physical,23/05/2025,P L,Bandara,No 253/C,Mahawawa,Pelmadulla,Nuwara Eliya,728893383,785322718,TR029,AR04,7010,BOC-515,ENGLISH,LL,120114235738,D
390598706091,physical,23/05/2025,C S,Jayarathne,B/481/A,School Lane,Pelmadulla,Nuwara Eliya,728893383,721228703,TR029,AR04,7010,BOC-515,ENGLISH,LL,250464260339,D
166466533V,physical,23/05/2025,J M,Dissanayake,No 395,Garden Lane,Opanayaka,Nuwara Eliya,728893383,783081161,TR029,AR04,7010,BOC-515,ENGLISH,LL,3383909,D
244763174220,physical,23/05/2025,D P,Jayawardena,No 297/A,Mahawawa,Hatton,Nuwara Eliya,728893383,781555378,TR029,AR04,7010,BOC-515,ENGLISH,LL,3149789790620,D
409883580091,physical,23/05/2025,A R,Weerasinghe,C/298/B,Hill Street,Girandurukotte,Nuwara Eliya,728893383,726238232,TR029,AR04,7010,BOC-515,ENGLISH,LL,8352624130310,D
717871038V,physical,23/05/2025,M M,Fernando,D 64,Station Road,Ruvaneliya,Nuwara Eliya,728893383,725132524,TR029,AR04,7010,BOC-515,ENGLISH,LL,391595119283,D
427970683842,physical,23/05/2025,E A,Perera,No 230/B,Garden Lane,Girandurukotte,Nuwara Eliya,728893383,770854234,TR029,AR04,7010,BOC-515,ENGLISH,LL,4714516856,D
384432458V,physical,23/05/2025,C S,Weerasinghe,A/310/C,Church Lane,Mathurata,Nuwara Eliya,728893383,710174102,TR029,AR04,7010,BOC-515,ENGLISH,LL,78675197,D
250566665V,physical,23/05/2025,S,Dissanayake,B/360/B,Central Road,Padiyapalalla,Nuwara Eliya,728893383,717338778,TR029,AR04,7010,BOC-515,ENGLISH,LL,8579342,D
609269261578,physical,23/05/2025,M M,Jayawardena,D 366/B,Station Road,Boralanda,Nuwara Eliya,728893383,794541198,TR029,AR04,7010,BOC-515,ENGLISH,LL,277346020229325,D
709293275V,physical,23/05/2025,H K,Mendis,L216/C,Garden Lane,Hatton,Nuwara Eliya,728893383,766103056,TR029,AR04,7010,BOC-515,ENGLISH,LL,23290382,D
266945093286,physical,23/05/2025,E A,Bandara,D 286/A,Temple Road,Pelmadulla,Nuwara Eliya,728893383,710088512,TR029,AR04,7010,BOC-515,ENGLISH,LL,411003172699,D
546750024704,physical,23/05/2025,M M,Prasanna,L22/B,School Lane,Hatton,Nuwara Eliya,728893383,792417076,TR029,AR04,7010,BOC-515,ENGLISH,LL,3278209835613,D
823288251V,physical,23/05/2025,J M,Krishantha,D 397/B,Station Road,Pelmadulla,Nuwara Eliya,728893383,758103351,TR029,AR04,7010,BOC-515,ENGLISH,LL,3603023375,D
833337264V,physical,23/05/2025,M M,Jayarathne,A/126/B,Mahawawa,Ruvaneliya,Nuwara Eliya,728893383,760603489,TR029,AR04,7010,BOC-515,ENGLISH,LL,1932597208934,D
401129393058,physical,23/05/2025,K P,Jayawardena,L497,Central Road,Gampola,Nuwara Eliya,728893383,714684854,TR029,AR04,7010,BOC-515,ENGLISH,LL,670817465969198,D
946714946V,physical,23/05/2025,P L,Mendis,L454/C,River Road,Opanayaka,Nuwara Eliya,728893383,717205600,TR029,AR04,7010,BOC-515,ENGLISH,LL,50544701220,D
763999218V,physical,23/05/2025,E A,Hemantha,C/342/B,Hill Street,Munwatta,Nuwara Eliya,728893383,791098163,TR029,AR04,7010,BOC-515,ENGLISH,LL,4191804836986,D
558867734V,physical,23/05/2025,H K,Krishantha,No 335,Park Road,Kudagama,Nuwara Eliya,728893383,753420517,TR029,AR04,7010,BOC-515,ENGLISH,LL,69063068,D
813231355V,physical,23/05/2025,P L,Karunaratne,No 211,River Road,Munwatta,Nuwara Eliya,728893383,750311435,TR029,AR04,7010,BOC-515,ENGLISH,LL,02490517072191,D
819561161450,physical,23/05/2025,A R,Gunawardena,A/112/A,Madakadura,Munwatta,Nuwara Eliya,728893383,712688785,TR029,AR04,7010,BOC-515,ENGLISH,LL,8553982043,D
492117136V,physical,23/05/2025,T R,Karunaratne,B/295/A,Napatavela,Girandurukotte,Nuwara Eliya,728893383,773731800,TR029,AR04,7010,BOC-515,ENGLISH,LL,64385701667802,D
987554223V,physical,23/05/2025,R T,Rajapaksa,L287/C,Central Road,Mathurata,Nuwara Eliya,728893383,730278930,TR029,AR04,7010,BOC-515,ENGLISH,LL,872974209014,D
741545048V,physical,23/05/2025,R T,Weerasinghe,B/333/C,Mahawawa,Balangoda,Nuwara Eliya,728893383,738663812,TR029,AR04,7010,BOC-515,ENGLISH,LL,0272222,D
588766170863,physical,23/05/2025,T R,Bandara,L346/B,Mahawawa,Pelmadulla,Nuwara Eliya,728893383,789043081,TR029,AR04,7010,BOC-515,ENGLISH,LL,34238015370968,D
958799444V,physical,23/05/2025,S,Fernando,L314,Station Road,Girandurukotte,Nuwara Eliya,728893383,798709993,TR029,AR04,7010,BOC-515,ENGLISH,LL,06132647279,D
107134916230,physical,23/05/2025,P L,Mendis,L120/A,Napatavela,Padiyapalalla,Nuwara Eliya,728893383,734482227,TR029,AR04,7010,BOC-515,ENGLISH,LL,937206811639,D
645030300V,physical,23/05/2025,S T,Perera,C/21/A,Lake View,Ruvaneliya,Nuwara Eliya,728893383,774875927,TR029,AR04,7010,BOC-515,ENGLISH,LL,087072090820865,D
528644878006,physical,23/05/2025,S,Mendis,B/32/A,Main Street,Pelmadulla,Nuwara Eliya,728893383,769250075,TR029,AR04,7010,BOC-515,ENGLISH,LL,87506302766850,D
795811740V,physical,23/05/2025,M M,Silva,B/106,Ulhitiya,Mathurata,Nuwara Eliya,728893383,754336567,TR029,AR04,7010,BOC-515,ENGLISH,LL,88155131262687,D
220596697885,physical,23/05/2025,N S,Fernando,C/337/B,Mahawawa,Hatton,Nuwara Eliya,728893383,769457855,TR029,AR04,7010,BOC-515,ENGLISH,LL,56216028205509,D
959040727V,physical,23/05/2025,N S,Prasanna,B/110/C,Central Road,Girandurukotte,Nuwara Eliya,728893383,796680982,TR029,AR04,7010,BOC-515,ENGLISH,LL,10907302342,D
615500578V,physical,23/05/2025,L M,Wijesinghe,No 288,River Road,Padiyapalalla,Nuwara Eliya,728893383,785470737,TR029,AR04,7010,BOC-515,ENGLISH,LL,407343930,D
338682352627,physical,23/05/2025,L M,Perera,B/231/B,Garden Lane,Gampola,Nuwara Eliya,728893383,784028679,TR029,AR04,7010,BOC-515,ENGLISH,LL,63889636892878,D
977134856V,physical,23/05/2025,T R,Wijesinghe,D 222/A,Napatavela,Pelmadulla,Nuwara Eliya,728893383,721416494,TR029,AR04,7010,BOC-515,ENGLISH,LL,57721681387,D
412473125V,physical,23/05/2025,N S,Rajapaksa,C/56/B,Park Road,Munwatta,Nuwara Eliya,728893383,774618920,TR029,AR04,7010,BOC-515,ENGLISH,LL,67194489,D
981078347800,physical,23/05/2025,M M,Jayarathne,B/5/B,Kandy Road,Munwatta,Nuwara Eliya,728893383,744053609,TR029,AR04,7010,BOC-515,ENGLISH,LL,1501921,D
950467217032,physical,23/05/2025,R T,Jayawardena,D 499,Ulhitiya,Hatton,Nuwara Eliya,728893383,783636307,TR029,AR04,7010,BOC-515,ENGLISH,LL,60258652,D
708700342549,physical,23/05/2025,H K,Gunawardena,A/285,School Lane,Boralanda,Nuwara Eliya,728893383,791511214,TR029,AR04,7010,BOC-515,ENGLISH,LL,527680253543691,D
966707033V,physical,23/05/2025,E A,Mendis,L494,Hill Street,Nuwara Eliya,Nuwara Eliya,728893383,744077716,TR029,AR04,7010,BOC-515,ENGLISH,LL,7136483235592,D
620683801829,physical,23/05/2025,L M,Karunaratne,L182/C,Lake View,Padiyapalalla,Nuwara Eliya,728893383,791862907,TR029,AR04,7010,BOC-515,ENGLISH,LL,56622326381247,D
243719180757,physical,23/05/2025,D P,Silva,D 494/C,Central Road,Mathurata,Nuwara Eliya,728893383,713166751,TR029,AR04,7010,BOC-515,ENGLISH,LL,600770093415,D
860260822519,physical,23/05/2025,S,Fernando,L44/B,Main Street,Munwatta,Nuwara Eliya,728893383,718370294,TR029,AR04,7010,BOC-515,ENGLISH,LL,82642637438,D
702024065419,physical,23/05/2025,D P,Pradeep,A/489/B,Main Street,Padiyapalalla,Nuwara Eliya,728893383,751186024,TR029,AR04,7010,BOC-515,ENGLISH,LL,2609611,D
293292931139,physical,23/05/2025,L M,Gunawardena,A/179/C,Lake View,Opanayaka,Nuwara Eliya,728893383,723356152,TR029,AR04,7010,BOC-515,ENGLISH,LL,46522337202,D
546973345V,physical,23/05/2025,R T,Gunawardena,A/182/A,Station Road,Nuwara Eliya,Nuwara Eliya,728893383,735725834,TR029,AR04,7010,BOC-515,ENGLISH,LL,407807510,D
534343548V,physical,23/05/2025,S,Hemantha,L149,Main Street,Pelmadulla,Nuwara Eliya,728893383,764120378,TR029,AR04,7010,BOC-515,ENGLISH,LL,33595924028289,D
740393213V,physical,23/05/2025,K P,Dissanayake,B/365/B,Ulhitiya,Girandurukotte,Nuwara Eliya,728893383,780536643,TR029,AR04,7010,BOC-515,ENGLISH,LL,11342293041,D
509116172846,physical,23/05/2025,W M,Dissanayake,L382,Central Road,Hatton,Nuwara Eliya,728893383,711276113,TR029,AR04,7010,BOC-515,ENGLISH,LL,9280961940415,D
185595900168,physical,23/05/2025,P L,Dissanayake,A/412,Temple Road,Nuwara Eliya,Nuwara Eliya,728893383,759620076,TR029,AR04,7010,BOC-515,ENGLISH,LL,8817899595481,D
838737562V,physical,23/05/2025,P L,Jayawardena,L437/B,River Road,Gampola,Nuwara Eliya,728893383,788829454,TR029,AR04,7010,BOC-515,ENGLISH,LL,76240203820,D
388431762954,physical,23/05/2025,S,Fernando,D 229/A,Central Road,Pelmadulla,Nuwara Eliya,728893383,794092995,TR029,AR04,7010,BOC-515,ENGLISH,LL,7905319,D
654741309647,physical,23/05/2025,T R,Karunaratne,No 464/C,Madakadura,Ruvaneliya,Nuwara Eliya,728893383,725634269,TR029,AR04,7010,BOC-515,ENGLISH,LL,8200916359,D
158247995752,physical,23/05/2025,A T,Pradeep,B/210/C,River Road,Mathurata,Nuwara Eliya,728893383,731512829,TR029,AR04,7010,BOC-515,ENGLISH,LL,678070619534,D
667413140393,physical,23/05/2025,P L,Rajapaksa,D 137/B,Samagimawatha,Girandurukotte,Nuwara Eliya,728893383,777431152,TR029,AR04,7010,BOC-515,ENGLISH,LL,08371868,D
509088664787,physical,23/05/2025,S T,Bandara,C/204,Main Street,Gampola,Nuwara Eliya,728893383,784849858,TR029,AR04,7010,BOC-515,ENGLISH,LL,12858177531197,D
194223516V,physical,23/05/2025,K P,Prasanna,B/119/B,Station Road,Padiyapalalla,Nuwara Eliya,728893383,767587014,TR029,AR04,7010,BOC-515,ENGLISH,LL,658112098463631,D
566764341341,physical,23/05/2025,E A,Fernando,L148,Ulhitiya,Girandurukotte,Nuwara Eliya,728893383,785978083,TR029,AR04,7010,BOC-515,ENGLISH,LL,090981317051211,D
158470025984,physical,23/05/2025,R T,Hemantha,D 12/B,Lake View,Ruvaneliya,Nuwara Eliya,728893383,739197598,TR029,AR04,7010,BOC-515,ENGLISH,LL,42089042,D
351683921861,physical,23/05/2025,N S,Prasanna,D 376/C,Station Road,Boralanda,Nuwara Eliya,728893383,788547698,TR029,AR04,7010,BOC-515,ENGLISH,LL,19947139739307,D
488644709V,physical,23/05/2025,L M,Silva,No 216,Temple Road,Nuwara Eliya,Nuwara Eliya,728893383,745130297,TR029,AR04,7010,BOC-515,ENGLISH,LL,4736731586910,D
159876026320,physical,23/05/2025,M M,Prasanna,No 355/C,Park Road,Hatton,Nuwara Eliya,728893383,767642456,TR029,AR04,7010,BOC-515,ENGLISH,LL,1691339096503,D
886469792V,physical,23/05/2025,L M,Fernando,No 227/C,Lake View,Gampola,Nuwara Eliya,728893383,733565318,TR029,AR04,7010,BOC-515,ENGLISH,LL,824772213494,D
738283345878,physical,23/05/2025,A R,Silva,L67/B,Temple Road,Kudagama,Nuwara Eliya,728893383,777679129,TR029,AR04,7010,BOC-515,ENGLISH,LL,8895363408310,D
182484075V,physical,23/05/2025,S,Mendis,C/102/C,Central Road,Kudagama,Nuwara Eliya,728893383,750921037,TR029,AR04,7010,BOC-515,ENGLISH,LL,9905891115511,D
549126074V,physical,23/05/2025,L M,Pradeep,D 87/A,Church Lane,Pelmadulla,Nuwara Eliya,728893383,722403595,TR029,AR04,7010,BOC-515,ENGLISH,LL,313566249265,D
208382289V,physical,23/05/2025,E A,Fernando,D 102/B,Napatavela,Munwatta,Nuwara Eliya,728893383,784206312,TR029,AR04,7010,BOC-515,ENGLISH,LL,5729910562374,D
963371007V,physical,23/05/2025,L M,Pradeep,C/153/B,Madakadura,Opanayaka,Nuwara Eliya,728893383,741958581,TR029,AR04,7010,BOC-515,ENGLISH,LL,487354211519,D
552724399V,physical,23/05/2025,D P,Bandara,C/258/B,Ulhitiya,Pelmadulla,Nuwara Eliya,728893383,799594879,TR029,AR04,7010,BOC-515,ENGLISH,LL,41919890,D
244213294V,physical,23/05/2025,R T,Prasanna,A/475/C,Temple Road,Munwatta,Nuwara Eliya,728893383,795772456,TR029,AR04,7010,BOC-515,ENGLISH,LL,6416846480,D
484575541V,physical,23/05/2025,E A,Jayarathne,L462/C,Church Lane,Girandurukotte,Nuwara Eliya,728893383,749707606,TR029,AR04,7010,BOC-515,ENGLISH,LL,489147425,D
384309748V,physical,23/05/2025,C S,Jayarathne,B/268/B,Samagimawatha,Nuwara Eliya,Nuwara Eliya,728893383,747073176,TR029,AR04,7010,BOC-515,ENGLISH,LL,6653468,D
141124131031,physical,23/05/2025,K P,Gunawardena,C/183/A,Hill Street,Pelmadulla,Nuwara Eliya,728893383,715106737,TR029,AR04,7010,BOC-515,ENGLISH,LL,5705828,D
190268902V,physical,23/05/2025,J M,Hemantha,A/485/A,Station Road,Opanayaka,Nuwara Eliya,728893383,720342857,TR029,AR04,7010,BOC-515,ENGLISH,LL,74488828864,D
395144537823,physical,23/05/2025,R T,Bandara,A/197/C,Temple Road,Nuwara Eliya,Nuwara Eliya,728893383,790885074,TR029,AR04,7010,BOC-515,ENGLISH,LL,125834464,D
789175774V,physical,23/05/2025,E A,Dissanayake,A/127/A,River Road,Munwatta,Nuwara Eliya,728893383,713277443,TR029,AR04,7010,BOC-515,ENGLISH,LL,26798719,D
702227607V,physical,23/05/2025,K P,Dissanayake,A/225/B,Madakadura,Pelmadulla,Nuwara Eliya,728893383,783003061,TR029,AR04,7010,BOC-515,ENGLISH,LL,1152297,D
610915465215,physical,23/05/2025,A T,Wijesinghe,C/123,Kandy Road,Ruvaneliya,Nuwara Eliya,728893383,759023838,TR029,AR04,7010,BOC-515,ENGLISH,LL,3052378000,D
579676800V,physical,23/05/2025,L M,Krishantha,B/200/C,Temple Road,Opanayaka,Nuwara Eliya,728893383,747920886,TR029,AR04,7010,BOC-515,ENGLISH,LL,3934974879820,D
483566123V,physical,23/05/2025,M M,Pradeep,No 333/C,School Lane,Boralanda,Nuwara Eliya,728893383,750240101,TR029,AR04,7010,BOC-515,ENGLISH,LL,07358551395,D
156122809V,physical,23/05/2025,S T,Dissanayake,No 297/C,Central Road,Girandurukotte,Nuwara Eliya,728893383,770148339,TR029,AR04,7010,BOC-515,ENGLISH,LL,263993951,D
167575596V,physical,23/05/2025,S T,Gunawardena,A/60/B,School Lane,Mathurata,Nuwara Eliya,728893383,794192587,TR029,AR04,7010,BOC-515,ENGLISH,LL,303455864747041,D
292035332V,physical,23/05/2025,T R,Mendis,B/92/B,Park Road,Ruvaneliya,Nuwara Eliya,728893383,786169337,TR029,AR04,7010,BOC-515,ENGLISH,LL,8209682898,D
103926179V,physical,23/05/2025,W M,Mendis,L405/C,River Road,Munwatta,Nuwara Eliya,728893383,731083244,TR029,AR04,7010,BOC-515,ENGLISH,LL,363067526,D
774336369V,physical,23/05/2025,S T,Gunawardena,D 372/B,River Road,Boralanda,Nuwara Eliya,728893383,768459581,TR029,AR04,7010,BOC-515,ENGLISH,LL,31861103182,D
440114592504,physical,23/05/2025,S T,Fernando,A/289/B,Central Road,Pelmadulla,Nuwara Eliya,728893383,746626798,TR029,AR04,7010,BOC-515,ENGLISH,LL,3932528435,D
127159597167,physical,23/05/2025,S T,Gunawardena,A/12,Ulhitiya,Gampola,Nuwara Eliya,728893383,788900168,TR029,AR04,7010,BOC-515,ENGLISH,LL,551719935946,D
278321404632,physical,23/05/2025,A R,Bandara,C/374/A,Lake View,Gampola,Nuwara Eliya,728893383,788484709,TR029,AR04,7010,BOC-515,ENGLISH,LL,355024497,D
693602238V,physical,23/05/2025,E A,Fernando,No 40/C,Station Road,Munwatta,Nuwara Eliya,728893383,788225027,TR029,AR04,7010,BOC-515,ENGLISH,LL,1062297,D
147197691538,physical,23/05/2025,J M,Jayarathne,No 323/B,Station Road,Gampola,Nuwara Eliya,728893383,782924035,TR029,AR04,7010,BOC-515,ENGLISH,LL,79904597042,D
727483693802,physical,23/05/2025,L M,Fernando,No 229,Samagimawatha,Padiyapalalla,Nuwara Eliya,728893383,764701940,TR029,AR04,7010,BOC-515,ENGLISH,LL,010716818,D
917912222680,physical,23/05/2025,T R,Mendis,D 126,Ulhitiya,Gampola,Nuwara Eliya,728893383,778533129,TR029,AR04,7010,BOC-515,ENGLISH,LL,369687231071,D
789814023V,physical,23/05/2025,D P,Bandara,No 259/B,School Lane,Nuwara Eliya,Nuwara Eliya,728893383,748723348,TR029,AR04,7010,BOC-515,ENGLISH,LL,51097013,D
545898423071,physical,23/05/2025,P L,Perera,L377/C,Park Road,Gampola,Nuwara Eliya,728893383,767143211,TR029,AR04,7010,BOC-515,ENGLISH,LL,54962720,D
353553003552,physical,23/05/2025,L M,Rajapaksa,No 435/A,School Lane,Munwatta,Nuwara Eliya,728893383,798548089,TR029,AR04,7010,BOC-515,ENGLISH,LL,47797987180938,D
310082416765,physical,23/05/2025,T R,Pradeep,A/21/B,Garden Lane,Balangoda,Nuwara Eliya,728893383,770958281,TR029,AR04,7010,BOC-515,ENGLISH,LL,2254962,D
799545649V,physical,23/05/2025,C S,Bandara,A/71/C,Park Road,Munwatta,Nuwara Eliya,728893383,746237067,TR029,AR04,7010,BOC-515,ENGLISH,LL,55660735,D
627129487831,physical,23/05/2025,J M,Bandara,C/395/C,Station Road,Ruvaneliya,Nuwara Eliya,728893383,782906573,TR029,AR04,7010,BOC-515,ENGLISH,LL,49145003937739,D
920136081975,physical,23/05/2025,R T,Karunaratne,A/445/B,River Road,Girandurukotte,Nuwara Eliya,728893383,766202173,TR029,AR04,7010,BOC-515,ENGLISH,LL,85196888,D
235207420612,physical,23/05/2025,W M,Bandara,A/338/B,Lake View,Ruvaneliya,Nuwara Eliya,728893383,731277196,TR029,AR04,7010,BOC-515,ENGLISH,LL,63502539373,D
896597414527,physical,23/05/2025,C S,Pradeep,A/202,River Road,Mathurata,Nuwara Eliya,728893383,737459576,TR029,AR04,7010,BOC-515,ENGLISH,LL,4229834417,D
732951908V,physical,23/05/2025,C S,Jayawardena,L370/A,Hill Street,Padiyapalalla,Nuwara Eliya,728893383,760831765,TR029,AR04,7010,BOC-515,ENGLISH,LL,191491397,D
767471194099,physical,23/05/2025,R T,Gunawardena,No 401,Kandy Road,Kudagama,Nuwara Eliya,728893383,732960434,TR029,AR04,7010,BOC-515,ENGLISH,LL,976002082079,D
412684173V,physical,23/05/2025,K P,Wijesinghe,No 178,School Lane,Padiyapalalla,Nuwara Eliya,728893383,736581749,TR029,AR04,7010,BOC-515,ENGLISH,LL,187424901990842,D
639573914307,physical,23/05/2025,M M,Krishantha,B/134/B,Park Road,Nuwara Eliya,Nuwara Eliya,728893383,716717793,TR029,AR04,7010,BOC-515,ENGLISH,LL,2560727,D
699684677291,physical,23/05/2025,P L,Pradeep,D 178/B,Ulhitiya,Gampola,Nuwara Eliya,728893383,768672717,TR029,AR04,7010,BOC-515,ENGLISH,LL,31474288905296,D
617708781V,physical,23/05/2025,J M,Silva,A/31/C,River Road,Pelmadulla,Nuwara Eliya,728893383,710764838,TR029,AR04,7010,BOC-515,ENGLISH,LL,9161391960,D
157876134697,physical,23/05/2025,J M,Rajapaksa,B/412,Garden Lane,Opanayaka,Nuwara Eliya,728893383,725567103,TR029,AR04,7010,BOC-515,ENGLISH,LL,304486690950,D
584504011224,physical,23/05/2025,P L,Pradeep,No 277/B,Lake View,Mathurata,Nuwara Eliya,728893383,716553298,TR029,AR04,7010,BOC-515,ENGLISH,LL,9787076188,D
691570496821,physical,23/05/2025,K P,Dissanayake,A/299,Ulhitiya,Padiyapalalla,Nuwara Eliya,728893383,792745146,TR029,AR04,7010,BOC-515,ENGLISH,LL,970133440379063,D
393320232420,physical,23/05/2025,L M,Mendis,A/248/B,Central Road,Nuwara Eliya,Nuwara Eliya,728893383,756455746,TR029,AR04,7010,BOC-515,ENGLISH,LL,354335654,D
987777084V,physical,23/05/2025,S,Gunawardena,D 16/C,Madakadura,Girandurukotte,Nuwara Eliya,728893383,741576390,TR029,AR04,7010,BOC-515,ENGLISH,LL,327392117,D
709185174V,physical,23/05/2025,W M,Hemantha,B/482/B,Lake View,Kudagama,Nuwara Eliya,728893383,765330595,TR029,AR04,7010,BOC-515,ENGLISH,LL,211672876180,D
203673176V,physical,23/05/2025,S T,Fernando,A/249/A,Hill Street,Boralanda,Nuwara Eliya,728893383,717544685,TR029,AR04,7010,BOC-515,ENGLISH,LL,838482289,D
